InvoiceDate,Description,UnitPrice
2025-10-20 23:30:06,Dumbbells Set 20kg,31722.84
2025-10-12 23:30:06,Boxing Gloves Professional,3668.2
2025-08-15 23:30:06,Protein Powder Whey 2kg,78404.96
2025-09-25 23:30:06,Gym Gloves Training,18504.74
2025-11-03 23:30:06,Apple Watch Series 9,7579.3
2025-11-19 23:30:06,Bose QuietComfort Earbuds II,32004.19
2025-08-24 23:30:06,Sony WH-1000XM5 Wireless Headphones,15962.21
2025-10-26 23:30:06,Staedtler Pencil Set,30084.12
2025-08-20 23:30:06,Yoga Mat Premium Non-Slip,32969.64
2025-11-04 23:30:06,Atomic Habits Hardcover Book,80908.66
2025-10-21 23:30:06,Running Water Bottle,35757.52
2025-09-25 23:30:06,Canon EOS R6 Camera,70350.14
2025-11-11 23:30:06,Puma Running T-Shirt,81198.76
2025-08-21 23:30:06,Timex Weekender Watch,35009.61
2025-11-13 23:30:06,Staedtler Pencil Set,29492.34
2025-12-10 23:30:06,MacBook Air M2 13 inch,49874.21
2025-10-11 23:30:06,The North Face Jacket,19230.13
2025-12-12 23:30:06,Timex Weekender Watch,31509.18
2026-01-01 23:30:06,Running Water Bottle,29104.0
2025-08-28 23:30:06,Adidas Ultraboost 22 Sneakers,64242.73
2025-12-14 23:30:06,Dumbbells Set 20kg,28355.3
2025-11-14 23:30:06,Dyson V15 Detect Vacuum,55880.07
2025-12-19 23:30:06,Cuisinart Food Processor,11422.49
2025-09-18 23:30:06,Samsung Galaxy S24 Ultra 5G,64803.23
2025-11-12 23:30:06,Staedtler Pencil Set,29155.02
2025-11-24 23:30:06,Puma Running T-Shirt,83666.49
2025-12-15 23:30:06,Canon EOS R6 Camera,69839.58
2025-08-24 23:30:06,Under Armour Sports Backpack,74373.92
2025-12-10 23:30:06,Cuisinart Food Processor,10889.36
2026-01-23 23:30:06,Ray-Ban Aviator Sunglasses,63258.01
2025-08-29 23:30:06,iPad Pro 12.9 inch M2 Chip,66291.86
2025-10-01 23:30:06,Kindle Paperwhite E-reader,29070.54
2025-09-08 23:30:06,Kindle Paperwhite E-reader,27938.67
2025-09-03 23:30:06,Canon EOS R6 Camera,68610.59
2025-11-24 23:30:06,Ninja Professional Blender,13894.55
2026-02-01 23:30:06,Sapiens: A Brief History,58833.06
2025-11-20 23:30:06,iPad Pro 12.9 inch M2 Chip,63878.35
2025-12-18 23:30:06,Samsung Smart Refrigerator,61428.82
2025-11-12 23:30:06,Fitbit Charge 5 Tracker,73495.84
2026-02-09 23:30:06,Fitbit Charge 5 Tracker,74713.61
2026-02-07 23:30:06,HP DeskJet Printer,30728.44
2025-11-28 23:30:06,Timex Weekender Watch,33055.37
2025-11-16 23:30:06,Philips Air Fryer XXL,48940.0
2025-11-16 23:30:06,Moleskine Classic Notebook,34734.29
2025-12-23 23:30:06,The Psychology of Money,50669.29
2025-12-01 23:30:06,Fitbit Charge 5 Tracker,70564.73
2025-11-07 23:30:06,Moleskine Classic Notebook,34465.43
2025-12-02 23:30:06,Herschel Supply Co Backpack,12535.08
2025-12-26 23:30:06,Samsung Smart Refrigerator,55903.48
2025-12-13 23:30:06,KitchenAid Stand Mixer,43404.81
2025-12-21 23:30:06,Samsung Smart Refrigerator,60958.24
2025-09-10 23:30:06,Dumbbells Set 20kg,31538.06
2025-10-02 23:30:06,Boxing Gloves Professional,3508.24
2025-10-04 23:30:06,Sapiens: A Brief History,73670.43
2025-12-24 23:30:06,Ray-Ban Aviator Sunglasses,59728.3
2026-01-22 23:30:06,Leuchtturm1917 Bullet Journal,54585.53
2026-01-07 23:30:06,Ray-Ban Aviator Sunglasses,61233.65
2026-02-04 23:30:06,iPad Pro 12.9 inch M2 Chip,61948.27
2026-02-08 23:30:06,Atomic Habits Hardcover Book,80806.62
2026-01-26 23:30:06,Adidas Ultraboost 22 Sneakers,79520.65
2025-08-21 23:30:06,Jump Rope Speed,36992.5
2025-12-09 23:30:06,Staedtler Pencil Set,28224.19
2026-01-11 23:30:06,Logitech MX Master 3S Mouse,20342.11
2026-01-26 23:30:06,Sapiens: A Brief History,62534.77
2026-02-01 23:30:06,KitchenAid Stand Mixer,43291.96
2025-12-11 23:30:06,Dell XPS 15 Laptop,47089.5
2026-01-29 23:30:06,Samsung Smart Refrigerator,63339.93
2025-12-14 23:30:06,Dell XPS 15 Laptop,47683.83
2025-10-06 23:30:06,Dyson V15 Detect Vacuum,61712.43
2025-09-13 23:30:06,Wacom Drawing Tablet,36124.63
2025-12-13 23:30:06,Gym Gloves Training,19473.12
2026-01-22 23:30:06,The North Face Jacket,17296.45
2025-12-05 23:30:06,Sapiens: A Brief History,60874.08
2025-10-08 23:30:06,Philips Air Fryer XXL,44910.6
2025-12-02 23:30:06,Puma Running T-Shirt,81346.65
2025-08-29 23:30:06,Herschel Supply Co Backpack,11707.67
2025-08-23 23:30:06,HP DeskJet Printer,26600.76
2025-08-28 23:30:06,Yoga Mat Premium Non-Slip,33204.82
2025-12-09 23:30:06,Keurig K-Elite Coffee Maker,43223.89
2025-11-20 23:30:06,Boxing Gloves Professional,3544.17
2025-08-17 23:30:06,Moleskine Classic Notebook,33647.53
2025-10-20 23:30:06,Dyson V15 Detect Vacuum,56269.27
2025-10-25 23:30:06,Apple iPhone 15 Pro Max 256GB,74335.15
2025-12-01 23:30:06,Fitbit Charge 5 Tracker,70564.73
2026-01-01 23:30:06,Fossil Gen 6 Smartwatch,25105.54
2026-01-27 23:30:06,Moleskine Classic Notebook,36308.78
2025-09-03 23:30:06,Dyson V15 Detect Vacuum,54899.57
2025-10-17 23:30:06,Fossil Gen 6 Smartwatch,23514.31
2025-09-14 23:30:06,Bose QuietComfort Earbuds II,34322.89
2025-09-21 23:30:06,Staedtler Pencil Set,32134.46
2025-12-20 23:30:06,Philips Air Fryer XXL,49250.58
2025-12-12 23:30:06,Puma Running T-Shirt,85088.82
2026-01-06 23:30:06,Ray-Ban Aviator Sunglasses,63021.97
2025-12-28 23:30:06,Logitech MX Master 3S Mouse,19166.05
2025-12-20 23:30:06,Dumbbells Set 20kg,28034.74
2025-11-07 23:30:06,Leuchtturm1917 Bullet Journal,57522.55
2025-09-18 23:30:06,Keurig K-Elite Coffee Maker,41472.78
2026-02-05 23:30:06,LG Washing Machine Front Load,41881.8
2025-09-20 23:30:06,LG Washing Machine Front Load,45147.55
2026-01-19 23:30:06,Adidas Ultraboost 22 Sneakers,74199.04
2026-01-04 23:30:06,Levi's 501 Original Jeans,16768.62
2025-11-25 23:30:06,Protein Powder Whey 2kg,68491.59
2025-10-24 23:30:06,Sapiens: A Brief History,68629.84
2026-01-29 23:30:06,The Psychology of Money,47152.51
2025-10-23 23:30:06,Yoga Mat Premium Non-Slip,35410.58
2025-08-15 23:30:06,Bose QuietComfort Earbuds II,31120.75
2026-01-05 23:30:06,HP DeskJet Printer,29474.32
2025-10-20 23:30:06,Running Water Bottle,34182.76
2025-09-29 23:30:06,Adidas Ultraboost 22 Sneakers,71420.21
2025-10-26 23:30:06,Moleskine Classic Notebook,34342.07
2025-12-06 23:30:06,Levi's 501 Original Jeans,16241.21
2025-09-03 23:30:06,MacBook Air M2 13 inch,57585.86
2025-10-01 23:30:06,Adidas Ultraboost 22 Sneakers,71089.36
2025-12-17 23:30:06,Sony WH-1000XM5 Wireless Headphones,17065.71
2025-08-24 23:30:06,Adidas Ultraboost 22 Sneakers,64939.97
2025-10-20 23:30:06,Atomic Habits Hardcover Book,75904.52
2025-10-27 23:30:06,Roomba i7+ Robot Vacuum,55152.18
2025-11-19 23:30:06,Samsung Smart Refrigerator,65135.41
2025-08-21 23:30:06,Logitech MX Master 3S Mouse,22342.21
2025-11-06 23:30:06,Logitech MX Master 3S Mouse,23086.27
2026-01-07 23:30:06,Sapiens: A Brief History,56334.94
2026-01-10 23:30:06,Yoga Mat Premium Non-Slip,37540.41
2026-02-09 23:30:06,Philips Air Fryer XXL,51321.62
2025-11-05 23:30:06,Apple iPhone 15 Pro Max 256GB,72139.9
2025-11-24 23:30:06,Leuchtturm1917 Bullet Journal,55005.74
2025-11-12 23:30:06,Leuchtturm1917 Bullet Journal,53718.09
2025-09-08 23:30:06,Samsung Smart Refrigerator,69707.64
2025-08-19 23:30:06,Atomic Habits Hardcover Book,75945.14
2025-10-30 23:30:06,Atomic Habits Hardcover Book,80767.02
2026-01-24 23:30:06,Under Armour Sports Backpack,61170.71
2025-10-22 23:30:06,Roomba i7+ Robot Vacuum,57093.71
2025-10-03 23:30:06,Resistance Bands Set,2414.3
2025-10-07 23:30:06,Wacom Drawing Tablet,39082.08
2025-11-08 23:30:06,Parker Jotter Ballpoint Pen,68529.47
2025-11-14 23:30:06,Wacom Drawing Tablet,39752.02
2025-11-08 23:30:06,Apple iPhone 15 Pro Max 256GB,76025.71
2025-09-06 23:30:06,iPad Pro 12.9 inch M2 Chip,72814.72
2025-10-15 23:30:06,Samsung Smart Refrigerator,66885.19
2025-10-16 23:30:06,Apple iPhone 15 Pro Max 256GB,74697.12
2026-02-08 23:30:06,Dyson V15 Detect Vacuum,53407.66
